trial,n_components,method,rmse
83,2,project,1.9777534565390276
83,2,sklearn,1.9777185692695978
83,4,project,1.5842069762578384
83,4,sklearn,1.5841208519186636
83,6,project,1.2427182709258326
83,6,sklearn,1.1955924787153909
83,8,project,1.0088169279221184
83,8,sklearn,0.7334840163584032
84,2,project,2.0628347756880925
84,2,sklearn,2.042815744723458
84,4,project,1.797337893015264
84,4,sklearn,1.5667799930306383
84,6,project,1.4049721641632347
84,6,sklearn,1.1619434101697346
84,8,project,1.2058618488736015
84,8,sklearn,0.7465069379596491
85,2,project,2.096261056007356
85,2,sklearn,2.0962610560073514
85,4,project,1.667064400115534
85,4,sklearn,1.6670644001148929
85,6,project,1.389052139720087
85,6,sklearn,1.203540624300889
85,8,project,1.3139992805916
85,8,sklearn,0.7311271026959529
86,2,project,2.2219555394268493
86,2,sklearn,2.143734601475108
86,4,project,1.9698051085024593
86,4,sklearn,1.700198659014929
86,6,project,1.8304605139494465
86,6,sklearn,1.2437028515361594
86,8,project,1.8304605139493157
86,8,sklearn,0.7276994381987737
87,2,project,2.160182207347458
87,2,sklearn,2.0936138399124817
87,4,project,1.8677171523329725
87,4,sklearn,1.7037973863729152
87,6,project,1.6216039880915554
87,6,sklearn,1.30498619501259
87,8,project,1.5886594661740325
87,8,sklearn,0.8293937441268856
88,2,project,2.1315977384236833
88,2,sklearn,2.071194765000109
88,4,project,1.8495945875762871
88,4,sklearn,1.6653036256256588
88,6,project,1.679266213961339
88,6,sklearn,1.2458614208895684
88,8,project,1.6785852268650918
88,8,sklearn,0.7770293755371399
89,2,project,2.1289787959819706
89,2,sklearn,2.1289787959816664
89,4,project,1.745327804394702
89,4,sklearn,1.7015070393608598
89,6,project,1.38409005731113
89,6,sklearn,1.265676516243722
89,8,project,1.1101801338800137
89,8,sklearn,0.7774181044245131
90,2,project,2.134695023002566
90,2,sklearn,2.075126794446508
90,4,project,1.8200652612138661
90,4,sklearn,1.6583488513257303
90,6,project,1.6073599477529408
90,6,sklearn,1.227124943328628
90,8,project,1.4959307665424362
90,8,sklearn,0.7738094398927768
91,2,project,2.525240582598023
91,2,sklearn,2.020919617718117
91,4,project,2.525240582598023
91,4,sklearn,1.5794004710268315
91,6,project,2.525240582598023
91,6,sklearn,1.1233558516815023
91,8,project,2.525240582598023
91,8,sklearn,0.7277657480933266
92,2,project,2.2425030431258794
92,2,sklearn,2.1617181898467575
92,4,project,1.9552521661534297
92,4,sklearn,1.719143195266918
92,6,project,1.7153888731998375
92,6,sklearn,1.3227412673587502
92,8,project,1.6975805911593345
92,8,sklearn,0.8333053831083346
93,2,project,2.145092389496755
93,2,sklearn,2.1450923894967016
